Country,Estimated MDR-TB cases,0-4 year olds needing evaluation,5-14 year olds needing evaluation,0-4 year olds needing treatment,5-14 year olds needing treatment,0-4 year olds needing preventive therapy,5-14 year olds neeiding preventive therapy,,,,
Congo,250,167,334,17,28,150,162,,,,
Cook Islands,1,1,1,0,0,1,1,,,,
Costa Rica,6,4,8,0,1,4,4,,,,
Cote d'Ivoire,580,386,774,39,65,348,376,,,,
Croatia,2,1,3,0,0,1,1,,,,
Cuba,11,7,15,1,1,7,7,,,,
Curacao,0,0,0,0,0,0,0,,,,
Cyprus,2,1,3,0,0,1,1,,,,
Czech Republic,10,7,13,1,1,6,6,,,,
Democratic People's Republic of Korea,"3,800","2,531","5,069",253,426,"2,278","2,466",,,,
Democratic Republic of the Congo,"2,900","1,931","3,869",193,325,"1,738","1,882",,,,
Denmark,3,2,4,0,0,2,2,,,,
Djibouti,81,54,108,5,9,49,53,,,,
Dominica,0,0,0,0,0,0,0,,,,
Dominican Republic,330,220,440,22,37,198,214,,,,
Ecuador,380,253,507,25,43,228,247,,,,
Egypt,330,220,440,22,37,198,214,,,,
El Salvador,16,11,21,1,2,10,10,,,,
Equatorial Guinea,0,0,0,0,0,0,0,,,,
Eritrea,79,53,105,5,9,47,51,,,,
Estonia,70,47,93,5,8,42,45,,,,
Ethiopia,"2,000","1,332","2,668",133,224,"1,199","1,298",,,,
Fiji,0,0,0,0,0,0,0,,,,
Finland,3,2,4,0,0,2,2,,,,
France,45,30,60,3,5,27,29,,,,
French Polynesia,0,0,0,0,0,0,0,,,,
Gabon,170,113,227,11,19,102,110,,,,
Gambia,10,7,13,1,1,6,6,,,,
Georgia,630,420,840,42,71,378,409,,,,
Germany,63,42,84,4,7,38,41,,,,
Ghana,390,260,520,26,44,234,253,,,,
Greece,6,4,8,0,1,4,4,,,,
Greenland,2,1,3,0,0,1,1,,,,
Grenada,0,0,0,0,0,0,0,,,,
Guam,0,0,0,0,0,0,0,,,,
Guatemala,140,93,187,9,16,84,91,,,,
Guinea,250,167,334,17,28,150,162,,,,
Guinea-Bissau,45,30,60,3,5,27,29,,,,
Guyana,48,32,64,3,5,29,31,,,,
Haiti,390,260,520,26,44,234,253,,,,
Honduras,71,47,95,5,8,43,46,,,,
Hungary,31,21,41,2,3,19,20,,,,
Iceland,1,1,1,0,0,1,1,,,,
India,"64,000","42,624","85,376","4,262","7,172","38,362","41,527",,,,
Indonesia,"6,900","4,595","9,205",460,773,"4,136","4,477",,,,
Iran (Islamic Republic of),750,500,"1,001",50,84,450,487,,,,
Iraq,420,280,560,28,47,252,273,,,,
Ireland,2,1,3,0,0,1,1,,,,
Israel,22,15,29,1,2,13,14,,,,
Italy,43,29,57,3,5,26,28,,,,
Jamaica,3,2,4,0,0,2,2,,,,
Japan,240,160,320,16,27,144,156,,,,
Jordan,15,10,20,1,2,9,10,,,,
Kazakhstan,"7,000","4,662","9,338",466,784,"4,196","4,542",,,,
Kenya,"2,800","1,865","3,735",186,314,"1,678","1,817",,,,
Kiribati,15,10,20,1,2,9,10,,,,
Kuwait,0,0,0,0,0,0,0,,,,
Kyrgyzstan,"1,800","1,199","2,401",120,202,"1,079","1,168",,,,
Lao People's Democratic Republic,220,147,293,15,25,132,143,,,,
Latvia,120,80,160,8,13,72,78,,,,
Lebanon,10,7,13,1,1,6,6,,,,
Lesotho,170,113,227,11,19,102,110,,,,
Liberia,130,87,173,9,15,78,84,,,,
Libya,36,24,48,2,4,22,23,,,,
Lithuania,300,200,400,20,34,180,195,,,,
Luxembourg,0,0,0,0,0,0,0,,,,
Madagascar,170,113,227,11,19,102,110,,,,
Malawi,96,64,128,6,11,58,62,,,,
Malaysia,18,12,24,1,2,11,12,,,,
Maldives,2,1,3,0,0,1,1,,,,
Mali,140,93,187,9,16,84,91,,,,
Malta,0,0,0,0,0,0,0,,,,
Marshall Islands,4,3,5,0,0,2,3,,,,
Mauritania,59,39,79,4,7,35,38,,,,
Mauritius,0,0,0,0,0,0,0,,,,
Mexico,480,320,640,32,54,288,311,,,,
Micronesia (Federated States of),7,5,9,0,1,4,5,,,,
Monaco,0,0,0,0,0,0,0,,,,
Mongolia,170,113,227,11,19,102,110,,,,
Montenegro,0,0,0,0,0,0,0,,,,
Montserrat,0,0,0,0,0,0,0,,,,
Morocco,300,200,400,20,34,180,195,,,,
Mozambique,"2,000","1,332","2,668",133,224,"1,199","1,298",,,,
Myanmar,"6,000","3,996","8,004",400,672,"3,596","3,893",,,,
Namibia,630,420,840,42,71,378,409,,,,
Nauru,0,0,0,0,0,0,0,,,,
Nepal,990,659,"1,321",66,111,593,642,,,,
Netherlands,9,6,12,1,1,5,6,,,,
New Caledonia,0,0,0,0,0,0,0,,,,
New Zealand,4,3,5,0,0,2,3,,,,
Nicaragua,46,31,61,3,5,28,30,,,,
Niger,270,180,360,18,30,162,175,,,,
Nigeria,"3,600","2,398","4,802",240,403,"2,158","2,336",,,,
Niue,0,0,0,0,0,0,0,,,,
Northern Mariana Islands,0,0,0,0,0,0,0,,,,
Norway,3,2,4,0,0,2,2,,,,
Oman,6,4,8,0,1,4,4,,,,
Pakistan,"11,000","7,326","14,674",733,"1,233","6,593","7,137",,,,
Palau,0,0,0,0,0,0,0,,,,
Panama,56,37,75,4,6,34,36,,,,
Papua New Guinea,"1,100",733,"1,467",73,123,659,714,,,,
Paraguay,55,37,73,4,6,33,36,,,,
Peru,"2,200","1,465","2,935",147,247,"1,319","1,427",,,,
Philippines,"12,000","7,992","16,008",799,"1,345","7,193","7,786",,,,
Poland,48,32,64,3,5,29,31,,,,
Portugal,35,23,47,2,4,21,23,,,,
Puerto Rico,1,1,1,0,0,1,1,,,,
Qatar,6,4,8,0,1,4,4,,,,
Republic of Korea,"2,200","1,465","2,935",147,247,"1,319","1,427",,,,
Republic of Moldova,"1,700","1,132","2,268",113,190,"1,019","1,103",,,,
Romania,800,533,"1,067",53,90,480,519,,,,
Russian Federation,"46,000","30,636","61,364","3,064","5,155","27,572","29,847",,,,
Rwanda,240,160,320,16,27,144,156,,,,
Saint Kitts and Nevis,0,0,0,0,0,0,0,,,,
Saint Lucia,0,0,0,0,0,0,0,,,,
Saint Vincent and the Grenadines,1,1,1,0,0,1,1,,,,
Samoa,0,0,0,0,0,0,0,,,,
San Marino,0,0,0,0,0,0,0,,,,
Sao Tome and Principe,15,10,20,1,2,9,10,,,,
Saudi Arabia,84,56,112,6,9,50,55,,,,
Senegal,400,266,534,27,45,240,260,,,,
Serbia,20,13,27,1,2,12,13,,,,
Seychelles,0,0,0,0,0,0,0,,,,
Sierra Leone,220,147,293,15,25,132,143,,,,
Singapore,36,24,48,2,4,22,23,,,,
Sint Maarten (Dutch part),0,0,0,0,0,0,0,,,,
Slovakia,2,1,3,0,0,1,1,,,,
Slovenia,0,0,0,0,0,0,0,,,,
Solomon Islands,12,8,16,1,1,7,8,,,,
Somalia,770,513,"1,027",51,86,462,500,,,,
South Africa,"8,100","5,395","10,805",539,908,"4,855","5,256",,,,
South Sudan,250,167,334,17,28,150,162,,,,
Spain,31,21,41,2,3,19,20,,,,
Sri Lanka,21,14,28,1,2,13,14,,,,
Sudan,580,386,774,39,65,348,376,,,,
Suriname,3,2,4,0,0,2,2,,,,
Swaziland,730,486,974,49,82,438,474,,,,
Sweden,11,7,15,1,1,7,7,,,,
Switzerland,9,6,12,1,1,5,6,,,,
Syrian Arab Republic,97,65,129,6,11,58,63,,,,
Tajikistan,910,606,"1,214",61,102,545,590,,,,
Thailand,"1,800","1,199","2,401",120,202,"1,079","1,168",,,,
The Former Yugoslav Republic of Macedonia,5,3,7,0,1,3,3,,,,
Timor-Leste,82,55,109,5,9,49,53,,,,
Togo,77,51,103,5,9,46,50,,,,
Tokelau,0,0,0,0,0,0,0,,,,
Tonga,0,0,0,0,0,0,0,,,,
Trinidad and Tobago,11,7,15,1,1,7,7,,,,
Tunisia,19,13,25,1,2,11,12,,,,
Turkey,520,346,694,35,58,312,337,,,,
Turkmenistan,0,0,0,0,0,0,0,,,,
Turks and Caicos Islands,0,0,0,0,0,0,0,,,,
Tuvalu,1,1,1,0,0,1,1,,,,
Uganda,"1,000",666,"1,334",67,112,599,649,,,,
Ukraine,"6,800","4,529","9,071",453,762,"4,076","4,412",,,,
United Arab Emirates,2,1,3,0,0,1,1,,,,
United Kingdom of Great Britain and Northern Ireland,69,46,92,5,8,41,45,,,,
United Republic of Tanzania,510,340,680,34,57,306,331,,,,
United States of America,81,54,108,5,9,49,53,,,,
Uruguay,1,1,1,0,0,1,1,,,,
Uzbekistan,"4,000","2,664","5,336",266,448,"2,398","2,595",,,,
Vanuatu,0,0,0,0,0,0,0,,,,
Venezuela (Bolivarian Republic of),100,67,133,7,11,60,65,,,,
Viet Nam,"3,800","2,531","5,069",253,426,"2,278","2,466",,,,
Wallis and Futuna Islands,0,0,0,0,0,0,0,,,,
Yemen,150,100,200,10,17,90,97,,,,
Zambia,620,413,827,41,69,372,402,,,,
Zimbabwe,930,619,"1,241",62,104,557,603,,,,
